client_id,train_samples,test_samples,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
1,198879,49720,0.9993161705551086,0.9992340069280887,0.9992808894210756,0.9992574222734544
2,208721,52181,0.9992526015216266,0.9991036354139423,0.9993713004092807,0.9992372246989492
3,139080,34771,0.9993960484311639,0.9985963035745816,0.9991781729673148,0.9988861314501848
4,183409,45853,0.9994111617560465,0.9994340399228651,0.9994107785011354,0.9994223370548405
5,216816,54205,0.999151369799834,0.9988417969200741,0.9992963764801185,0.999068790183459
6,199394,49849,0.9992577584304599,0.9982538333820731,0.9995123154856888,0.9988808497933791
7,185108,46277,0.9995029928474188,0.99871371029622,0.999681751017505,0.9991966746630302
8,208876,52220,0.9992531597089238,0.9991582850917281,0.9993684333432965,0.9992631405591968
