epoch,train_loss,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
1,0.5114584374164349,0.9509043369276314,0.9084666539004146,0.9753514954838103,0.9349397516270722
2,0.12715494787083806,0.9829072757525337,0.9609718093969705,0.992353646592017,0.9754136271569703
3,0.07131094872457547,0.9921991486051386,0.9809746354088005,0.9964566217260793,0.9884307887952782
4,0.04915004115531128,0.9933660349633727,0.9836663370688804,0.9968730915466608,0.9900641829235065
5,0.036836059637964595,0.9934092529766406,0.9837674929618595,0.9968921751519355,0.9901269123272582
6,0.02955984498132329,0.9991572487412753,0.9978289477544876,0.9994241116929999,0.9986232625978467
7,0.024480454824370904,0.9994381658275169,0.9985474502600988,0.9996006403684392,0.9990726673876869
8,0.020729418631735674,0.9993301207943471,0.9982233269477515,0.9993337858727859,0.9987778124378354
9,0.017766528305577022,0.9992220757611773,0.9979461085982463,0.9992860768595991,0.9986149252740227
10,0.015510731927268413,0.9995029928474188,0.99871371029622,0.999681751017505,0.9991966746630302
