epoch,train_loss,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
1,0.46869590911692566,0.9553137199310842,0.9562506544507214,0.9563367581882424,0.9559244843258105
2,0.12322121476728604,0.9953983381676226,0.9950893383503344,0.9955934761806847,0.9953369635979041
3,0.07250863898929447,0.9974265587856846,0.9970841462177217,0.9975711018343594,0.997321817819098
4,0.04873336916971007,0.9993021176367959,0.9993203629087709,0.9993041223858968,0.9993121913406712
5,0.036016072870380035,0.9992584999890955,0.9992766812941358,0.9992745393042535,0.999275330777475
6,0.026183638641283872,0.9992803088129457,0.9993321079561652,0.9992524534420261,0.999292154867713
7,0.020486630066129323,0.9993021176367959,0.9993163165655776,0.9993216113165305,0.9993187432034105
8,0.016887067546056258,0.9994111617560465,0.9994340399228651,0.9994107785011354,0.9994223370548405
9,0.013185151794297533,0.9993457352844961,0.9993687765395602,0.9993492948563927,0.9993588592276362
10,0.01152449779336997,0.9993239264606459,0.9993332244232369,0.9993576908715488,0.9993454412848303
