epoch,train_loss,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
1,0.5879746875833423,0.9690466613032984,0.9556615463515609,0.9725278074668667,0.9635682684678705
2,0.18216519339302206,0.9847948511665325,0.9725175256877056,0.985143957093709,0.9782589206282882
3,0.10573761534798115,0.9964601769911504,0.9953345638494259,0.9967597024568781,0.9960391250198996
4,0.0709814660653357,0.9985518905872888,0.9980809571359422,0.998565308973447,0.9983222051432024
5,0.052413380788615245,0.9987731295253419,0.9983846446171433,0.9985332823353588,0.9984588650949263
6,0.03994621961810901,0.9989139179404666,0.9987898705329222,0.9988666563735631,0.9988278917766734
7,0.03250200500601668,0.9988736926790024,0.9985665710800022,0.9988026199409737,0.998684513500749
8,0.026502863652429574,0.999195494770716,0.9991413073821537,0.9992357805791521,0.9991885296520197
9,0.022664014700139398,0.9987329042638777,0.9981573928112663,0.9987278930639457,0.9984416297501572
10,0.019174117663190497,0.9993161705551086,0.9992340069280887,0.9992808894210756,0.9992574222734544
