setting,accuracy,precision_macro,recall_macro,f1_macro
flower_best,0.9996591424022842,0.9994729517941064,0.9996263080877181,0.99954959692856
centralized,0.9995361663278142,0.9992434496815464,0.9995350350748966,0.9993891536978011
local_avg,0.9669974990409204,0.9644674131703376,0.9543916207518706,0.9565605450033898
