epoch,train_loss,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
1,0.5186160846420054,0.9669034221935245,0.9356480434990361,0.9622067832734063,0.9472081555886174
2,0.17727917427513398,0.9973065215386034,0.9971191868569157,0.9965524557983998,0.9968346484683233
3,0.10769479709484105,0.9970666912646435,0.9967093230853621,0.9971442107168803,0.9969265106422697
4,0.07591685283718244,0.9972880730559911,0.9964570194828789,0.9973143730383489,0.9968832059008959
5,0.05689739679285097,0.9978784244995849,0.9977971503950375,0.9975456881492152,0.9976711051247955
6,0.04450012214552119,0.9979891153952587,0.9961056877577099,0.9983363854667839,0.9972126677536005
7,0.035045490261905315,0.999151369799834,0.9988417969200741,0.9992963764801185,0.999068790183459
8,0.027988183395585644,0.9984134304953417,0.9971204249657903,0.9987487875040252,0.9979308212169853
9,0.022291615860150108,0.9985241213910155,0.9983720733469915,0.9980487228182006,0.9982095188320567
10,0.01843392559138285,0.9987639516649756,0.9977097848889788,0.9989724265965116,0.9983382991827486
