epoch,train_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
1,0.19480269444351261,0.9987960815623059,0.9987206028923548,0.9987498344114102,0.9987351211673317
2,0.03143125395265383,0.9992396304604038,0.9991636169437562,0.9992364294732915,0.9991998486971823
3,0.011950656972523477,0.999184714882544,0.9990949778119286,0.999220468520139,0.9991575396296399
4,0.00744923342661177,0.9993410130656832,0.9992837369875355,0.9993501561011016,0.9993168791277075
5,0.005738326883214098,0.999193163432984,0.9991746549146171,0.9991595397881433,0.9991670364687509
6,0.0051629250571351955,0.9991255750294643,0.9990973755205128,0.9991048768874334,0.9991010199062561
7,0.004538349707570002,0.9988678942410456,0.998709022285829,0.9989128851655505,0.998810388725145
8,0.004631480778877409,0.999383255817883,0.9993328425972235,0.9993888074089895,0.9993607954321787
9,0.004275267877603402,0.9989692768463251,0.9988743982023441,0.9990784257003057,0.9989758407031196
10,0.0043218115744860595,0.9990875565524845,0.9989835252089508,0.9991118166028944,0.9990475266292466
