round,accuracy,precision_macro,recall_macro,f1_macro
1,0.9008403535925376,0.8917326669171849,0.8880533568031294,0.8824620133324896
2,0.9786587582710945,0.9706510506742902,0.9764945115038024,0.9720023897445369
3,0.9913991004373163,0.9844433720530127,0.9907597547038735,0.9868229482089101
4,0.9960553241438054,0.9925602459325825,0.9954412194774571,0.9938602585865928
5,0.9966370274958709,0.9936459309910225,0.9961491397617055,0.9947939208605744
6,0.9979926040573809,0.9963141894264693,0.9977564898475112,0.997007242674234
7,0.9982341148240866,0.9965832286523919,0.9980023833064778,0.9972647598500899
8,0.9982237272642284,0.9966405775081856,0.9979596081126121,0.9972717299448672
9,0.998262680613697,0.9966230087753836,0.9980312355287487,0.997299046825638
10,0.9981977583645826,0.9965247615009463,0.9979891599544408,0.9972291181728652
11,0.9993767464085012,0.9990729101685716,0.9993628483401871,0.9992175180656895
12,0.9994338779877219,0.9992150551168679,0.9994383298833154,0.9993264439152315
13,0.9994624437773323,0.9992586715455489,0.9994417057516279,0.9993500189436869
14,0.9994572499974032,0.9992548486004884,0.9994261779852939,0.9993403482978996
15,0.9995221722465175,0.9993337467017033,0.9995029892390115,0.9994182173824014
