epoch,train_loss,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
1,0.5173592278186012,0.9717732669475296,0.9645604620484578,0.9751104600217455,0.9693222826788266
2,0.14844532289049206,0.9963232477977786,0.9954927914622113,0.9967711469010849,0.9961259934460722
3,0.08634142752955942,0.9968594408272693,0.9962384680703598,0.9972741804512011,0.9967523891131891
4,0.059580760478389026,0.9989850631941785,0.9988597595923109,0.9989601008397448,0.9989098914566559
5,0.0442389191730934,0.9987169666794332,0.9983741050109791,0.9988199788310568,0.9985963204894207
6,0.03411483874215799,0.9982382229031023,0.9975968210862037,0.9983822487014082,0.9979868074787103
7,0.02718990075164566,0.9990808119494446,0.9989381496986836,0.9991860724104754,0.9990618567488313
8,0.020641322704214676,0.9989084641899655,0.9986119249606936,0.9990640799613217,0.9988372706373024
9,0.01683706241002416,0.9992531597089238,0.9991582850917281,0.9993684333432965,0.9992631405591968
10,0.014020276240497717,0.9991574109536576,0.9989824299539989,0.9992408378070801,0.9991112791206405
