epoch,train_loss,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
1,0.614547241040889,0.9464496275631992,0.9044723149156089,0.8763320649208762,0.8846403506151029
2,0.24790699040407643,0.9850162491731616,0.9674617890375599,0.988283051830762,0.9773639955609119
3,0.1534662657581708,0.9861666331138017,0.9709701475518323,0.9916619001899974,0.9806691755087908
4,0.10492621970308177,0.9957723390181473,0.9901783866923984,0.9927742470404866,0.9914483964678563
5,0.071769720491241,0.9988783756578758,0.9974034117768085,0.9987744124148064,0.9980844655635619
6,0.05101739917881787,0.9985620200741998,0.9966507635106034,0.9984187225526183,0.9975327133230959
7,0.03794946264037315,0.9992522504385839,0.9982611182100062,0.9989498349577927,0.9986042845938021
8,0.029313256727832863,0.9992810100370999,0.9983304372719024,0.999016266629547,0.9986716358063062
9,0.022956303098266396,0.9993385292341319,0.9984647983837999,0.9991507995880178,0.9988060825006119
10,0.01984720926403123,0.9993960484311639,0.9985963035745816,0.9991781729673148,0.9988861314501848
