epoch,train_loss,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
1,0.5267901436258585,0.9296074143914622,0.8675766269970834,0.9296212514146606,0.8943455717092371
2,0.15995133922268182,0.9699091255591887,0.9393580863450378,0.9827311039852272,0.9584216859110116
3,0.08547834022304951,0.9711328211197817,0.9415175815329562,0.9840036722343601,0.9602577274755002
4,0.0570020949945618,0.9915344339906518,0.9808465292878991,0.9911188919431355,0.9859066114865703
5,0.044246235604469594,0.9970109731388794,0.9930936815031387,0.9980999647500268,0.9955662574552596
6,0.03365572869347838,0.9974322453810508,0.9940219097591649,0.9983181193192175,0.9961497140602201
7,0.02608741979854993,0.9977331541254589,0.9946830720168403,0.9962941172386657,0.9954598116916223
8,0.021446479387724628,0.9986960621075649,0.9970566851503445,0.998607883098745,0.9978305552429768
9,0.01782321630475613,0.9992577584304599,0.9982538333820731,0.9995123154856888,0.9988808497933791
10,0.01664292580471971,0.9991373949326967,0.9979405185625708,0.9994798468305514,0.9987074138254898
